id_student,code_module,code_presentation,assignment_id,task_type,assignment_weight,due_at_day_offset,submitted_at_day_offset,relative_due_position,grade_score,is_late,gender,age_band,disability,history_avg_delay,history_late_count,history_assessment_count,history_late_ratio,history_avg_score,history_score_variance
10000,24123,Unknown,810572.0,Homework,1.0,31.0,31.0,0.31313131313131315,0.0,0,M,0-35,N,-0.4712962962962963,0.0,2.0,0.0,0.0,0.0
10000,24123,Unknown,818247.0,Homework,1.0,36.0,36.0,0.36363636363636365,0.0,0,M,0-35,N,-0.42260416666666667,0.0,3.0,0.0,0.0,0.0
10000,24123,Unknown,792785.0,Homework,2.0,38.0,24.0,0.3838383838383838,0.0,0,M,0-35,N,-0.38625578703703706,0.0,4.0,0.0,0.0,0.0
10000,24123,Unknown,828513.0,Homework,4.0,41.0,41.0,0.41414141414141414,0.0,0,M,0-35,N,-3.173087962962963,0.0,5.0,0.0,0.0,0.0
10000,24123,Unknown,828530.0,Homework,1.0,43.0,43.0,0.43434343434343436,0.0,0,M,0-35,N,-2.6563966049382715,0.0,6.0,0.0,0.0,0.0
10000,24123,Unknown,835975.0,Homework,1.0,45.0,45.0,0.45454545454545453,0.0,0,M,0-35,N,-2.3139814814814814,0.0,7.0,0.0,0.0,0.0
10000,24123,Unknown,792864.0,Homework,1.0,50.0,40.0,0.5050505050505051,0.0,0,M,0-35,N,-2.064837962962963,0.0,8.0,0.0,0.0,0.0
10000,24123,Unknown,855458.0,Homework,1.0,57.0,57.0,0.5757575757575758,0.0,0,M,0-35,N,-2.968576388888889,0.0,9.0,0.0,0.0,0.0
10000,24123,Unknown,859295.0,Homework,1.0,59.0,59.0,0.5959595959595959,0.0,0,M,0-35,N,-2.6781944444444443,0.0,10.0,0.0,0.0,0.0
10000,24123,Unknown,828515.0,Homework,4.0,64.0,66.0,0.6464646464646465,0.0,1,M,0-35,N,-2.463917297979798,0.0,11.0,0.0,0.0,0.0
10000,24123,Unknown,865936.0,Homework,1.0,64.0,64.0,0.6464646464646465,0.0,0,M,0-35,N,-2.1169560185185183,1.0,12.0,0.08333333333333333,0.0,0.0
10000,24123,Unknown,828517.0,Homework,2.0,78.0,67.0,0.7878787878787878,0.0,0,M,0-35,N,-1.9738149928774928,1.0,13.0,0.07692307692307693,0.0,0.0
10000,24123,Unknown,887912.0,Homework,5.0,78.0,,0.7878787878787878,0.0,0,M,0-35,N,-2.682042824074074,1.0,14.0,0.07142857142857142,0.0,0.0
10000,24123,Unknown,887923.0,Homework,1.0,78.0,78.0,0.7878787878787878,0.0,0,M,0-35,N,95.67699360493826,1.0,15.0,0.06666666666666667,0.0,0.0
10000,24123,Unknown,895530.0,Homework,5.0,80.0,80.0,0.8080808080808081,0.0,0,M,0-35,N,89.69355881944443,1.0,16.0,0.0625,0.0,0.0
10000,24123,Unknown,895531.0,Homework,1.0,80.0,,0.8080808080808081,0.0,0,M,0-35,N,84.40344955882352,1.0,17.0,0.058823529411764705,0.0,0.0
10000,24123,Unknown,901277.0,Homework,5.0,85.0,,0.8585858585858586,0.0,0,M,0-35,N,161.42011922839504,1.0,18.0,0.05555555555555555,0.0,0.0
10000,24123,Unknown,901281.0,Homework,1.0,85.0,85.0,0.8585858585858586,0.0,0,M,0-35,N,230.06661314327482,1.0,19.0,0.05263157894736842,0.0,0.0
10000,24123,Unknown,907381.0,Homework,5.0,87.0,,0.8787878787878788,0.0,0,M,0-35,N,218.5499387361111,1.0,20.0,0.05,0.0,0.0
10000,24123,Unknown,907384.0,Homework,1.0,87.0,87.0,0.8787878787878788,0.0,0,M,0-35,N,277.84296563492063,1.0,21.0,0.047619047619047616,0.0,0.0
10000,24123,Unknown,913402.0,Homework,5.0,92.0,,0.9292929292929293,0.0,0,M,0-35,N,265.2017412920875,1.0,22.0,0.045454545454545456,0.0,0.0
10000,24123,Unknown,913404.0,Homework,1.0,92.0,92.0,0.9292929292929293,0.0,0,M,0-35,N,317.0931222624798,1.0,23.0,0.043478260869565216,0.0,0.0
10000,24123,Unknown,918027.0,Homework,5.0,94.0,,0.9494949494949495,0.0,0,M,0-35,N,303.8704656442901,1.0,24.0,0.041666666666666664,0.0,0.0
10000,24123,Unknown,918028.0,Homework,1.0,94.0,94.0,0.9494949494949495,0.0,0,M,0-35,N,349.9837871629629,1.0,25.0,0.04,0.0,0.0
10000,24123,Unknown,909414.0,Homework,20.0,99.0,99.0,1.0,0.0,0,M,0-35,N,336.5108370156695,1.0,26.0,0.038461538461538464,0.0,0.0
10000,24256,Unknown,760872.0,Homework,120.0,17.0,,0.16831683168316833,0.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0
10000,24256,Unknown,775483.0,Homework,135.0,31.0,31.0,0.3069306930693069,135.0,0,M,0-35,N,1533.703503611111,0.0,1.0,0.0,0.0,0.0
10000,24256,Unknown,818947.0,Homework,80.0,38.0,38.0,0.37623762376237624,80.0,0,M,0-35,N,766.7216129166667,0.0,2.0,0.0,67.5,95.45941546018392
10000,24256,Unknown,845933.0,Exam,1.0,50.0,50.0,0.49504950495049505,0.0,0,M,0-35,N,510.8284981172839,0.0,3.0,0.0,71.66666666666667,67.88470618138767
10000,24256,Unknown,846032.0,Exam,1.0,50.0,50.0,0.49504950495049505,0.0,0,M,0-35,N,383.12077462962964,0.0,4.0,0.0,53.75,66.00189391222042
10000,24256,Unknown,844124.0,Exam,80.0,52.0,50.0,0.5148514851485149,77.0,0,M,0-35,N,306.49604562962963,0.0,5.0,0.0,43.0,62.00806399170998
10000,24256,Unknown,865357.0,Homework,100.0,66.0,66.0,0.6534653465346535,93.0,0,M,0-35,N,254.9977637191358,0.0,6.0,0.0,48.666666666666664,57.17225434305234
10000,24256,Unknown,880676.0,Homework,70.0,73.0,73.0,0.7227722772277227,70.0,0,M,0-35,N,218.52624456349207,0.0,7.0,0.0,55.0,54.81483983983413
10000,24256,Unknown,888929.0,Homework,35.0,80.0,77.0,0.7920792079207921,35.0,0,M,0-35,N,191.10156208333333,0.0,8.0,0.0,56.875,51.025028872393314
10000,24256,Unknown,901016.0,Homework,55.0,87.0,85.0,0.8613861386138614,55.0,0,M,0-35,N,169.43243790123455,0.0,9.0,0.0,54.44444444444444,48.28330744447586
10000,24256,Unknown,906925.0,Homework,70.0,94.0,91.0,0.9306930693069307,70.0,0,M,0-35,N,152.2840841574074,0.0,10.0,0.0,54.5,45.522277818424
10000,24256,Unknown,925629.0,Exam,1.0,99.0,99.0,0.9801980198019802,0.0,0,M,0-35,N,138.156014006734,0.0,11.0,0.0,55.90909090909091,43.438357578192445
10000,24256,Unknown,925694.0,Exam,1.0,99.0,99.0,0.9801980198019802,0.0,0,M,0-35,N,126.64270902006172,0.0,12.0,0.0,51.25,44.45043204616699
10000,26906,Unknown,1060545.0,Homework,100.0,62.0,62.0,0.5961538461538461,100.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0
10000,26906,Unknown,1078129.0,Homework,100.0,69.0,69.0,0.6634615384615384,100.0,0,M,0-35,N,-0.9094097222222223,0.0,1.0,0.0,100.0,0.0
10000,28326,Unknown,960066.0,Homework,16.0,13.0,7.0,0.13402061855670103,6.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0
10000,28326,Unknown,960067.0,Homework,18.0,13.0,13.0,0.13402061855670103,18.0,0,M,0-35,N,-6.0803009259259255,0.0,1.0,0.0,6.0,0.0
